Year,Period,Trade Flow,Reporter,Reporter ISO,Partner,Customs,Mode of Transport,Commodity Code,Commodity,Trade_value,CIF Trade Value (US$),FOB Trade Value (US$)
2017,2017,M,Luxembourg,LUX,World,All CPCs,All MOTs,TOTAL,All Commodities,21055130454 ,21055130454,
2017,2017,M,Sri Lanka,LKA,World,All CPCs,All MOTs,TOTAL,All Commodities,21316199950 ,21316199950,
2015,2015,M,Ecuador,ECU,World,All CPCs,All MOTs,TOTAL,All Commodities,21387292074 ,21387292074,
2015,2015,M,Angola,AGO,World,All CPCs,All MOTs,TOTAL,All Commodities,21549256530 ,21549256531,19621708638
2019,2019,M,Tunisia,TUN,World,All CPCs,All MOTs,TOTAL,All Commodities,21573846826 ,21573846827,
2016,2016,M,Croatia,HRV,World,All CPCs,All MOTs,TOTAL,All Commodities,21829864971 ,21829864971,
2019,2019,M,Uzbekistan,UZB,World,All CPCs,All MOTs,TOTAL,All Commodities,21867269545 ,21867269545,
2017,2017,M,Panama,PAN,World,All CPCs,All MOTs,TOTAL,All Commodities,21934113569 ,21934113569,
2017,2017,M,Serbia,SRB,World,All CPCs,All MOTs,TOTAL,All Commodities,22146377217 ,22146377217,
2018,2018,M,Dominican Rep.,DOM,World,All CPCs,All MOTs,TOTAL,All Commodities,22181079864 ,22181079865,
2019,2019,M,Luxembourg,LUX,World,All CPCs,All MOTs,TOTAL,All Commodities,22673692574 ,22673692574,22331043787
2018,2018,M,Tunisia,TUN,World,All CPCs,All MOTs,TOTAL,All Commodities,22694713774 ,22694713775,
2018,2018,M,Luxembourg,LUX,World,All CPCs,All MOTs,TOTAL,All Commodities,23011791533 ,23011791533,22684953864
2018,2018,M,Ecuador,ECU,World,All CPCs,All MOTs,TOTAL,All Commodities,23019652623 ,23019652624,21956641691
2016,2016,M,Oman,OMN,World,All CPCs,All MOTs,TOTAL,All Commodities,23147559849 ,23147559849,
2017,2017,M,Croatia,HRV,World,All CPCs,All MOTs,TOTAL,All Commodities,24608731979 ,24608731979,
2016,2016,M,Kazakhstan,KAZ,World,All CPCs,All MOTs,TOTAL,All Commodities,25174778826 ,25174778826,
2018,2018,M,Oman,OMN,World,All CPCs,All MOTs,TOTAL,All Commodities,25770092486 ,25770092487,
2015,2015,M,Slovenia,SVN,World,All CPCs,All MOTs,TOTAL,All Commodities,25870229469 ,25870229469,
2018,2018,M,Serbia,SRB,World,All CPCs,All MOTs,TOTAL,All Commodities,25882635269 ,25882635269,24951258242
2020,2020,M,Croatia,HRV,World,All CPCs,All MOTs,TOTAL,All Commodities,25986635396 ,25986635396,0
2020,2020,M,Serbia,SRB,World,All CPCs,All MOTs,TOTAL,All Commodities,26227510882 ,26227510882,25189841944
2017,2017,M,Oman,OMN,World,All CPCs,All MOTs,TOTAL,All Commodities,26434873449 ,26434873449,
2016,2016,M,Slovenia,SVN,World,All CPCs,All MOTs,TOTAL,All Commodities,26690369758 ,26690369758,
2019,2019,M,Serbia,SRB,World,All CPCs,All MOTs,TOTAL,All Commodities,26730093636 ,26730093636,25604384724
2016,2016,M,Lithuania,LTU,World,All CPCs,All MOTs,TOTAL,All Commodities,27391399189 ,27391399190,
