Year,Period,Trade Flow,Reporter,Reporter ISO,Partner,Customs,Mode of Transport,Commodity Code,Commodity,Trade_value,FOB Trade Value (US$)
2017,2017,X,Germany,DEU,World,All CPCs,All MOTs,TOTAL,All Commodities,1450000000000 ,1.45E+12
2018,2018,X,Georgia,GEO,World,All CPCs,All MOTs,TOTAL,All Commodities,3355704732 ,3355704733
2018,2018,X,Gambia,GMB,World,All CPCs,All MOTs,TOTAL,All Commodities,11428464 ,11428464.87
2018,2018,X,State of Palestine,PSE,World,All CPCs,All MOTs,TOTAL,All Commodities,1155634049 ,1155634050
2018,2018,X,Germany,DEU,World,All CPCs,All MOTs,TOTAL,All Commodities,1560000000000 ,1.56E+12
2017,2017,X,Ghana,GHA,World,All CPCs,All MOTs,TOTAL,All Commodities,14358509951 ,14358509952
2017,2017,X,Greece,GRC,World,All CPCs,All MOTs,TOTAL,All Commodities,32154816405 ,32154816406
2018,2018,X,Ghana,GHA,World,All CPCs,All MOTs,TOTAL,All Commodities,17099588399 ,17099588400
2018,2018,X,Greece,GRC,World,All CPCs,All MOTs,TOTAL,All Commodities,39490521437 ,39490521438
2017,2017,X,Greenland,GRL,World,All CPCs,All MOTs,TOTAL,All Commodities,595837190 ,595837190.2
2017,2017,X,Guatemala,GTM,World,All CPCs,All MOTs,TOTAL,All Commodities,11011391397 ,11011391397
2017,2017,X,Guyana,GUY,World,All CPCs,All MOTs,TOTAL,All Commodities,1789689907 ,1789689908
2017,2017,X,Honduras,HND,World,All CPCs,All MOTs,TOTAL,All Commodities,4970144395 ,4970144396
2017,2017,X,"China, Hong Kong SAR",HKG,World,All CPCs,All MOTs,TOTAL,All Commodities,550000000000 ,5.50E+11
2018,2018,X,Greenland,GRL,World,All CPCs,All MOTs,TOTAL,All Commodities,640897343 ,640897343.6
2018,2018,X,Guatemala,GTM,World,All CPCs,All MOTs,TOTAL,All Commodities,10863483936 ,10863483936
2018,2018,X,Guyana,GUY,World,All CPCs,All MOTs,TOTAL,All Commodities,1378691103 ,1378691104
2018,2018,X,Honduras,HND,World,All CPCs,All MOTs,TOTAL,All Commodities,4486630182 ,4486630182
2018,2018,X,"China, Hong Kong SAR",HKG,World,All CPCs,All MOTs,TOTAL,All Commodities,569000000000 ,5.69E+11
2017,2017,X,Hungary,HUN,World,All CPCs,All MOTs,TOTAL,All Commodities,113000000000 ,1.13E+11
2017,2017,X,Iceland,ISL,World,All CPCs,All MOTs,TOTAL,All Commodities,4882605885 ,4882605885
2017,2017,X,Indonesia,IDN,World,All CPCs,All MOTs,TOTAL,All Commodities,169000000000 ,1.69E+11
2017,2017,X,Iran,IRN,World,All CPCs,All MOTs,TOTAL,All Commodities,106000000000 ,1.06E+11
2018,2018,X,Hungary,HUN,World,All CPCs,All MOTs,TOTAL,All Commodities,124000000000 ,1.24E+11
2018,2018,X,Iceland,ISL,World,All CPCs,All MOTs,TOTAL,All Commodities,5561475841 ,5561475841
2018,2018,X,Indonesia,IDN,World,All CPCs,All MOTs,TOTAL,All Commodities,180000000000 ,1.80E+11
2018,2018,X,Iran,IRN,World,All CPCs,All MOTs,TOTAL,All Commodities,96617521276 ,96617521276
2017,2017,X,Ireland,IRL,World,All CPCs,All MOTs,TOTAL,All Commodities,138000000000 ,1.38E+11
2017,2017,X,Israel,ISR,World,All CPCs,All MOTs,TOTAL,All Commodities,61150141000 ,61150141000
2018,2018,X,Ireland,IRL,World,All CPCs,All MOTs,TOTAL,All Commodities,167000000000 ,1.67E+11
2018,2018,X,Israel,ISR,World,All CPCs,All MOTs,TOTAL,All Commodities,61906412000 ,61906412000
2017,2017,X,Italy,ITA,World,All CPCs,All MOTs,TOTAL,All Commodities,503000000000 ,5.03E+11
2018,2018,X,Italy,ITA,World,All CPCs,All MOTs,TOTAL,All Commodities,550000000000 ,5.50E+11
2017,2017,X,-lvory Coast,CIV,World,All CPCs,All MOTs,TOTAL,All Commodities,12445558550 ,12445558550
2017,2017,X,Jamaica,JAM,World,All CPCs,All MOTs,TOTAL,All Commodities,1309718443 ,1309718443
2017,2017,X,Japan,JPN,World,All CPCs,All MOTs,TOTAL,All Commodities,698000000000 ,6.98E+11
2017,2017,X,Kazakhstan,KAZ,World,All CPCs,All MOTs,TOTAL,All Commodities,48502738958 ,48502738958
2017,2017,X,Jordan,JOR,World,All CPCs,All MOTs,TOTAL,All Commodities,7469238450 ,7469238451
2018,2018,X,-lvory Coast,CIV,World,All CPCs,All MOTs,TOTAL,All Commodities,11820908494 ,11820908494
2018,2018,X,Jamaica,JAM,World,All CPCs,All MOTs,TOTAL,All Commodities,1878239268 ,1878239269
2018,2018,X,Japan,JPN,World,All CPCs,All MOTs,TOTAL,All Commodities,738000000000 ,7.38E+11
2018,2018,X,Kazakhstan,KAZ,World,All CPCs,All MOTs,TOTAL,All Commodities,61109053214 ,61109053214
2018,2018,X,Jordan,JOR,World,All CPCs,All MOTs,TOTAL,All Commodities,7750262862 ,7750262863
2017,2017,X,Kenya,KEN,World,All CPCs,All MOTs,TOTAL,All Commodities,5747414819 ,5747414820
2017,2017,X,Rep. of Korea,KOR,World,All CPCs,All MOTs,TOTAL,All Commodities,574000000000 ,5.74E+11
2017,2017,X,Kuwait,KWT,World,All CPCs,All MOTs,TOTAL,All Commodities,54991871282 ,54991871282
2017,2017,X,Kyrgyzstan,KGZ,World,All CPCs,All MOTs,TOTAL,All Commodities,1757463670 ,1757463670
2017,2017,X,Lao People's Dem. Rep.,LAO,World,All CPCs,All MOTs,TOTAL,All Commodities,4909733654 ,4909733655
2017,2017,X,Lebanon,LBN,World,All CPCs,All MOTs,TOTAL,All Commodities,2844446138 ,2844446138
2017,2017,X,Lesotho,LSO,World,All CPCs,All MOTs,TOTAL,All Commodities,673150837 ,673150837.7
2017,2017,X,Latvia,LVA,World,All CPCs,All MOTs,TOTAL,All Commodities,13189947231 ,13189947231
2018,2018,X,Kenya,KEN,World,All CPCs,All MOTs,TOTAL,All Commodities,6050420682 ,6050420682
2018,2018,X,Rep. of Korea,KOR,World,All CPCs,All MOTs,TOTAL,All Commodities,605000000000 ,6.05E+11
2018,2018,X,Kuwait,KWT,World,All CPCs,All MOTs,TOTAL,All Commodities,71941444555 ,71941444555
2018,2018,X,Kyrgyzstan,KGZ,World,All CPCs,All MOTs,TOTAL,All Commodities,1835179371 ,1835179371
2018,2018,X,Lao People's Dem. Rep.,LAO,World,All CPCs,All MOTs,TOTAL,All Commodities,5814806369 ,5814806369
2018,2018,X,Lebanon,LBN,World,All CPCs,All MOTs,TOTAL,All Commodities,2952759932 ,2952759932
2018,2018,X,Latvia,LVA,World,All CPCs,All MOTs,TOTAL,All Commodities,15064999864 ,15064999864
2017,2017,X,Libya,LBY,World,All CPCs,All MOTs,TOTAL,All Commodities,20135528255 ,20135528255
2017,2017,X,Lithuania,LTU,World,All CPCs,All MOTs,TOTAL,All Commodities,29349549370 ,29349549371
2017,2017,X,Luxembourg,LUX,World,All CPCs,All MOTs,TOTAL,All Commodities,11517510520 ,11517510521
2017,2017,X,Madagascar,MDG,World,All CPCs,All MOTs,TOTAL,All Commodities,2851663745 ,2851663746
2017,2017,X,Malawi,MWI,World,All CPCs,All MOTs,TOTAL,All Commodities,883851985 ,883851985.8
2017,2017,X,Malaysia,MYS,World,All CPCs,All MOTs,TOTAL,All Commodities,216000000000 ,2.16E+11
2018,2018,X,Libya,LBY,World,All CPCs,All MOTs,TOTAL,All Commodities,30040892184 ,30040892185
2018,2018,X,Lithuania,LTU,World,All CPCs,All MOTs,TOTAL,All Commodities,33334576736 ,33334576737
2018,2018,X,Luxembourg,LUX,World,All CPCs,All MOTs,TOTAL,All Commodities,15127093074 ,15127093075
2018,2018,X,"China, Macao SAR",MAC,World,All CPCs,All MOTs,TOTAL,All Commodities,1161004083 ,1161004084
2018,2018,X,Madagascar,MDG,World,All CPCs,All MOTs,TOTAL,All Commodities,3133017751 ,3133017751
2018,2018,X,Malawi,MWI,World,All CPCs,All MOTs,TOTAL,All Commodities,879974472 ,879974472.9
2018,2018,X,Malaysia,MYS,World,All CPCs,All MOTs,TOTAL,All Commodities,247000000000 ,2.47E+11
2017,2017,X,Maldives,MDV,World,All CPCs,All MOTs,TOTAL,All Commodities,199345279 ,199345279.4
2017,2017,X,Mali,MLI,World,All CPCs,All MOTs,TOTAL,All Commodities,1902730073 ,1902730073
2017,2017,X,Malta,MLT,World,All CPCs,All MOTs,TOTAL,All Commodities,4077731851 ,4077731852
